transaction_id,customer_lat,customer_lon,merchant_lat,merchant_lon
1,44.27901162988662,-73.42682879596656,45.67570152970997,-93.68451655113763
2,42.53815521062367,-106.54541776261387,46.92742858190306,-110.72216723858531
3,34.17713478183448,-80.31187965191084,42.751066403135944,-107.17918489955146
4,39.31611824279146,-112.55521613194968,61.39120243080857,-152.35670752721825
5,28.44456843429614,-81.36732076662572,39.7300630910635,-86.23697343779257
6,40.12866372264407,-99.51661699934856,35.5609786530262,-96.96247525439382
7,34.51316846312713,-105.99909347412365,36.00123484734421,-119.63987604879964
8,47.20167056460445,-109.91247134486952,38.94746907372074,-105.46162742183546
9,45.83390580366951,-94.04332761693385,40.11856502624937,-98.5336501523757
10,40.378537855852095,-89.0725509778382,44.45021481545606,-122.01454984470453
11,40.309884486864604,-89.02529384171471,33.05006333254987,-83.62095274700827
12,30.18485917704124,-97.14494949681453,44.15581456251841,-114.49263121974685
13,39.099037460332646,-91.39864370386495,44.40197155613736,-122.06791351723254
14,44.37691559258302,-115.23259301309571,47.609171136441816,-99.77238573225858
15,44.3968617978475,-99.89760445917096,42.295063670533786,-99.38971962046202
16,43.199623854981574,-106.8029356273145,42.321827522277445,-71.52513624069974
17,35.0779422753033,-97.08822358556941,35.567661411522685,-96.77429876373799
18,43.97742266334984,-114.37794986536974,35.44204571013786,-96.8948637519788
19,46.89921204260673,-110.51896591485493,39.91296284281968,-98.64807440737195
20,40.528739628624805,-98.95930605302381,31.306151359893807,-92.02742126210468
21,42.908887850639715,-106.99734161083111,45.65847908307315,-93.87241374734957
22,38.274287832536814,-92.06448837716135,42.190762176833694,-74.72635786434098
23,40.43607922484336,-98.16761874003967,21.052237400095773,-157.4858807876897
24,31.101618551453655,-92.04206373297991,39.77599437610785,-98.50806218927129
25,33.67032606877938,-80.95586949802212,38.47466013678577,-92.36082016811547
26,35.86998092798238,-97.40823808655003,39.87763392863109,-98.5393113233551
27,39.76179047303419,-99.1269272534224,42.75663985453071,-107.40572507505674
28,32.68565004268261,-89.28424746976786,44.23891429076426,-114.35342445506848
29,32.95421275612348,-86.40447706343791,39.89997116015359,-98.4387886041326
30,40.47281300665099,-98.529577636811,44.302571831469166,-99.3587598644338
31,35.8320286332437,-86.69555215088877,39.931338221381196,-98.61327235980936
32,40.106781362081314,-74.26060419387707,36.35560498149783,-119.68353492883979
33,37.345066586556925,-84.95353240391884,39.7917089030234,-98.44689538252229
34,32.558620646950864,-89.52640526894011,39.84023045336625,-86.38959255623688
35,61.20686158504345,-153.64164982916515,39.84581007550318,-98.53054549378534
36,32.318845736537014,-89.94974341685774,34.835652051465175,-92.59475617386114
37,43.51545482352368,-89.290505847016,33.82546489044982,-80.92406998860935
38,43.25064453005774,-71.0307112640167,39.8822035745459,-98.62797323781929
39,40.60799590354422,-97.96187313110254,40.478095914127834,-82.76540703349933
40,32.344403584802386,-86.03247193379988,38.578277515930694,-80.9748100179418
41,39.68991378291097,-99.19028768352241,34.91655085532586,-106.23143368308037
42,44.49866069648822,-98.97367882246188,44.6442155776435,-122.15843610553483
43,39.839489067032154,-98.37310006125263,39.87712481799482,-98.73852733203935
44,37.988209918483314,-80.62578106735303,33.77025980400548,-82.99959727642742
45,40.455628022463344,-97.68142631084162,20.967849396490973,-157.59870807697246
46,39.24662962178891,-76.59268801472126,39.83020451602094,-98.460925648597
47,43.54922449188213,-89.55295451751245,44.51384392950047,-121.90694340512461
48,43.76098006893348,-71.9511894561257,46.86217949291888,-110.37723541946659
49,37.79411280918135,-84.73920333325715,42.6769131430946,-107.27018045786822
50,46.701657368757544,-110.79923611240406,39.97557227413757,-98.52474697725067
51,43.077785475953604,-107.49828925930613,39.80970216529167,-98.60435766673511
52,41.293989456250486,-97.94718027407876,39.82527486296884,-98.65876449941806
53,33.121931228513276,-89.66199406589584,43.308408362122904,-71.77742547500797
54,39.20875958773024,-105.72584089943885,39.87140621293965,-98.65706183088639
55,40.41604988624751,-89.17533776398105,42.34091808102733,-74.85301943421814
56,40.50194845009391,-98.56747611544046,35.71230209391149,-79.79722299223988
57,47.65672068371686,-110.49063403262814,35.49031706596392,-80.0062501525254
