transaction_id,customer_id,merchant_id,amount,time,is_fraud
1,480,88,26.446609173255954,2023-11-28 07:00:00,0
2,37,78,162.70050311567158,2023-11-22 10:00:00,0
3,88,69,38.78644640572496,2023-05-06 17:00:00,0
4,84,60,25.62208709727886,2023-07-14 13:00:00,0
5,139,82,44.287742860668416,2023-12-19 14:00:00,0
6,286,29,13.115784425231066,2023-12-17 15:00:00,0
7,167,99,88.15627605399604,2023-01-29 01:00:00,0
8,118,5,7.448198725566497,2023-06-11 14:00:00,0
9,206,35,172.8980713981719,2023-02-03 17:00:00,0
10,109,73,80.40809030749026,2023-06-11 10:00:00,0
11,109,84,31.66432691086065,2023-09-13 15:00:00,0
12,203,83,33.44579966637421,2023-08-23 11:00:00,0
13,74,34,138.08899279180804,2023-03-13 11:00:00,0
14,127,96,0.013470207640267372,2023-10-15 14:00:00,0
15,276,34,182.84555642147865,2023-10-27 12:00:00,1
16,220,75,28.345617309149553,2023-07-24 14:00:00,0
17,186,29,44.6652667564808,2023-03-12 11:00:00,0
18,261,64,184.96761371370292,2023-02-16 12:00:00,0
19,387,7,56.88386725432964,2023-02-26 15:00:00,0
20,79,81,47.3719410559516,2023-03-23 14:00:00,0
21,406,88,68.08511682311533,2023-08-05 15:00:00,0
22,306,9,100.16086674053277,2023-07-17 11:00:00,0
23,196,77,338.27929410405415,2023-08-28 17:00:00,0
24,271,33,301.1307088376879,2023-10-11 18:00:00,0
25,441,2,152.24525761144807,2023-12-15 11:00:00,0
26,370,15,4.938565445154199,2023-12-16 12:00:00,0
27,454,69,56.6918375072549,2023-05-17 14:00:00,0
28,394,83,23.43090592525958,2023-06-24 16:00:00,0
29,58,38,145.915597161305,2023-08-11 11:00:00,0
30,81,59,172.6982839782898,2023-01-02 13:00:00,0
31,489,93,63.91928577607432,2023-05-15 16:00:00,0
32,498,65,24.301554696629722,2023-04-02 09:00:00,0
33,260,14,14.687824248068754,2023-11-17 07:00:00,0
34,153,82,134.1693753785471,2023-09-17 17:00:00,0
35,312,26,124.89941708327505,2023-03-20 09:00:00,0
36,192,98,220.92313952729916,2023-03-24 20:00:00,0
37,277,100,11.823437635671135,2023-09-29 11:00:00,0
38,471,1,31.14184672257246,2023-11-03 13:00:00,0
39,166,63,67.8977219233992,2023-01-10 13:00:00,0
40,58,47,75.70196375133226,2023-06-07 10:00:00,0
41,123,8,331.04222210096384,2023-05-04 13:00:00,0
42,450,73,113.17832132238965,2023-02-10 12:00:00,0
43,44,94,73.66729262027566,2023-09-06 16:00:00,0
44,418,9,13.416040728437489,2023-09-30 16:00:00,1
45,393,17,12.806888687847065,2023-03-07 16:00:00,0
46,338,61,1.7708232706465001,2023-10-09 16:00:00,0
47,85,34,42.78573430933416,2023-09-28 14:00:00,0
48,447,78,0.13545426943478148,2023-08-05 20:00:00,0
49,494,28,187.7714998624691,2023-10-04 14:00:00,0
50,387,94,228.8293749222259,2023-12-20 14:00:00,0
51,103,92,50.75066259951957,2023-06-09 13:00:00,0
52,205,86,6.795219063427087,2023-11-29 19:00:00,0
53,192,57,137.61238826067157,2023-09-22 13:00:00,0
54,232,16,5.958489006248408,2023-05-07 07:00:00,0
55,116,9,329.05960797829,2023-06-23 14:00:00,0
56,11,76,45.520289964627686,2023-10-11 14:00:00,0
57,118,76,97.39559723919811,2023-04-23 12:00:00,0
58,4,10,86.34573226958267,2023-12-29 12:00:00,0
59,324,8,49.12937947777809,2023-04-28 15:00:00,0
60,35,5,30.09766945987171,2023-06-19 18:00:00,0
61,37,66,63.48561371298942,2023-05-02 13:00:00,0
62,143,86,123.00476518437323,2023-09-06 15:00:00,0
63,110,70,14.41878005901035,2023-03-09 10:00:00,0
64,371,74,75.42988546284627,2023-10-23 22:00:00,0
65,243,32,7.930213477005081,2023-08-31 22:00:00,0
66,414,53,164.4886302350852,2023-04-08 14:00:00,0
67,49,13,4.489270890015703,2023-12-04 05:00:00,0
68,221,46,58.97635674222761,2023-08-05 20:00:00,0
69,211,60,323.4674354858788,2023-01-28 12:00:00,0
70,345,84,302.4745318202052,2023-11-27 16:00:00,0
71,51,8,57.44683429928096,2023-07-26 07:00:00,0
72,373,44,7.588970221384388,2023-02-25 15:00:00,0
73,128,25,141.59712237241735,2023-04-08 15:00:00,0
74,275,58,64.79828321383204,2023-03-13 14:00:00,0
75,217,24,109.84137455189628,2023-05-23 16:00:00,0
76,237,32,83.2605387708658,2023-02-08 08:00:00,0
77,227,71,0.9079563850904285,2023-02-20 12:00:00,0
78,26,84,260.63161770524016,2023-10-04 13:00:00,0
